+-------+-------------------------+------+
| Rank  | Player                  | VINs |
+-------+-------------------------+------+
|     1 | badkapp62               | 1153 |
|     2 | xtremesp33d             |  233 |
|     3 | speeddemonn             |  134 |
|     4 | vza                     |  104 |
|     5 | vercetti87              |   96 |
|     6 | patlock                 |   89 |
|     7 | viktors3232             |   82 |
|     8 | J--                     |   80 |
|     9 | khaledalshihry          |   69 |
|    10 | THE WIZARD DK           |   68 |
|    11 | timoonn                 |   64 |
|    12 | P V L                   |   64 |
|    13 | chucknorris             |   64 |
|    14 | thestigusa              |   61 |
|    15 | turb0keule              |   60 |
|    16 | barbecuedpossumyt       |   60 |
|    17 | dmo3_al7zn              |   52 |
|    18 | Berni25                 |   51 |
|    19 | [OD]Jardim              |   51 |
|    20 | shadowfast              |   50 |
|    21 | averro                  |   49 |
|    22 | denkanplays             |   48 |
|    23 | MaGiC DuB               |   45 |
|    24 | Bizzle                  |   45 |
|    25 | duno                    |   45 |
|    26 | bkrisztian91            |   44 |
|    27 | tdilevi                 |   42 |
|    28 | toom43                  |   41 |
|    29 | marriagesiu             |   41 |
|    30 | Garypants               |   40 |
|    31 | 9xxadrianxx9            |   39 |
|    32 | megatonzxc              |   39 |
|    33 | benray12345             |   38 |
|    34 | gunther steiner         |   38 |
|    35 | posyda                  |   38 |
|    36 | mrblazefist             |   37 |
|    37 | bmw93                   |   34 |
|    38 | gaaz                    |   34 |
|    39 | ibtasim6781             |   34 |
|    40 | p.h.d_gonapus           |   33 |
|    41 | vanzeto                 |   33 |
|    42 | peter 83                |   31 |
|    43 | hunterhei               |   31 |
|    44 | finland69               |   30 |
|    45 | rremus                  |   30 |
|    46 | Jason1984               |   30 |
|    47 | terppa1234567           |   29 |
|    48 | anry987                 |   29 |
|    49 | aplastador200           |   29 |
|    50 | ramblinman              |   29 |
|    51 | carreragt339            |   29 |
|    52 | notsosideways           |   28 |
|    53 | huskii                  |   28 |
|    54 | kiit1337                |   28 |
|    55 | Lucky Loser             |   28 |
|    56 | verke                   |   27 |
|    57 | lubomir371              |   27 |
|    58 | Noctambule              |   27 |
|    59 | mr.fubell               |   25 |
|    60 | pcpaultje2              |   25 |
|    61 | hardovsky               |   25 |
|    62 | szymon3211              |   25 |
|    63 | nexoon                  |   25 |
|    64 | Boypower                |   24 |
|    65 | aadu                    |   24 |
|    66 | ogdave                  |   24 |
|    67 | yilmaz_ali              |   24 |
|    68 | Degats                  |   24 |
|    69 | Lcee                    |   24 |
|    70 | hsvdin0                 |   23 |
|    71 | bartek50pl              |   23 |
|    72 | invortex                |   23 |
|    73 | iraqiboy                |   23 |
|    74 | inacio_block            |   23 |
|    75 | Piggy501                |   23 |
|    76 | wampy                   |   23 |
|    77 | MattsterGT              |   23 |
|    78 | lamerr                  |   22 |
|    79 | nike[lv]                |   22 |
|    80 | eclipseonfire           |   22 |
|    81 | theguiihbr              |   22 |
|    82 | Peter North             |   22 |
|    83 | saabsabasan             |   22 |
|    84 | sparckify               |   22 |
|    85 | dmrzn                   |   22 |
|    86 | sadiee                  |   21 |
|    87 | sean_drifter            |   21 |
|    88 | nomuken8514             |   21 |
|    89 | mbt                     |   21 |
|    90 | the curry one           |   21 |
|    91 | 13brotary               |   21 |
|    92 | vilix                   |   21 |
|    93 | inno                    |   21 |
|    94 | ian78                   |   21 |
