March 2025

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.       2107 P V L                              17,632      [ DS ] P V L                            
   2.      45913 whatalife                           8,970      whatalife                               
   3.      39608 y a k u z                           8,027      V M . Yakuz                             
   4.      42317 eetz1                               7,152      V M . Eetzi                             
   5.      43573 wampy                               6,683      Wa m py ™                               
   6.      39516 mehmetgulec                         6,338      ηgμ ｫ japon                             
   7.      39867 racing101                           5,067      SMOKEY                                  
   8.      16012 tnt25                               4,894      [6S] Adamo                              
   9.      20680 zui2000                             4,889      Ou†law™                                 
  10.      44395 006s                                4,403      βч. Azi Z                               
  11.      45026 gtaplay                             4,284      ＰＩＬＯＴ                                   
  12.      43110 jibalonskis                         4,101      PISAU JUS                               
  13.      40877 sametttpe                           4,063      dﾞ [COP] ﾏ`samet                        
  14.      40663 muratcan2370                        4,055      Dapolyon [V900]                         
  15.      27293 J--                                 4,013      V M . J--[COP]                          
  16.      42004 tdiahmet_                           3,882      tdiªhmet                                
  17.      46978 marcius78                           3,688      Zefkis                                  
  18.      46087 yetkinbaba                          3,620      Redﾉ Lancer                             
  19.      36474 akumaz                              3,579      ηgμ ｫ npc                               
  20.      46227 dragonhi                            3,499      dragonhi                                
  21.      40242 astraxan                            3,434      [COP] MOTORHEAD                         
  22.      13773 nssf                                3,388      Dahl GOAT Biker                         
  23.      33123 thegamer147                         3,225      [ RDSR ] Carlos                         
  24.      25995 gorkema67                           3,180      [COP] -dr                               
  25.      45351 mrconfidence                        3,173      WhiteLine License                       
  26.      40681 supracii3529                        3,169      Kagvafil                                
  27.      45835 raklomore                           3,004      rak                                     
  28.      40866 01alperen001                        2,956      [ RDSR ] Ali                            
  29.      46558 victorgtt                           2,945      V T                                     
  30.      43444 slyvute                             2,866      [PACT] Traxyss                          
  31.      29189 cetink.                             2,839      [ RDSR ] Fearr                          
  32.      28892 ibtasim6781                         2,810      ghutra                                  
  33.      39488 yilmaz_ali                          2,770      SO • Чılmαz                             
  34.      42783 e n s                               2,742      E N S                                   
  35.      37942 isaac68ea                           2,729      Redﾉ Newton, Isaac                      
  36.      41796 countess                            2,667      [PACT] Countess                         
  37.      30093 thatyorkshireman                    2,616      [TC] ›Yung‹                             
  38.      16249 nike[lv]                            2,591      SO • Freddy                             
  39.      30933 kentwolf                            2,571      [6S] February                           
  40.      27378 tommyii                             2,447      [6S] LeCat                              
  41.      43231 uf1                                 2,404      } uf1                                   
  42.      36473 jamarsk                             2,392      [MED] Mario                             
  43.      41544 yasso7up                            2,367      tBug                                    
  44.       3895 Piggy501                            2,329      [TC] ›Nick‹                             
  45.      40659 cgtyksy55                           2,329      Redﾉ CCTV                               
  46.      46979 boschas                             2,316      Boschas                                 
  47.      40818 dmrzn                               2,300      [6S] Dmrzn                              
  48.      22858 gaga5555                            2,198      R U S FSB                               
  49.      23031 ali_dk                              2,187      Meysam                                  
  50.      39239 jordanvalov                         2,160      [CSR] Yordan                            
  51.      24634 bkrisztian91                        2,136      [CSR] Botos                             
  52.      43145 milkereus                           2,127      reverence                               
  53.      23390 ivo_drifta                          2,108      Yasen • • •                             
  54.      41871 emrecansmsk                         2,102      ( F F ) Emre.C                          
  55.      43548 suskun068                           2,093      Swim> TopRat                            
  56.      42979 firatrobert_07                      2,065      [PACT] Robert [G29]                     
  57.      25704 psykoze                             2,045      [ ﾏ ]Giorgi                             
  58.      39264 lubomir371                          2,032      [CSR] •L.ivanov156                      
  59.      30454 vilix                               2,015      [TC] ›Vilix‹                            
  60.      13142 ledzz                               1,985      yt/ ledjdm                              
  61.      26468 shadowfast                          1,917      [6S] Hakou                              
  62.      40361 cocusz                              1,914      COCUSZ G25                              
  63.      38196 laurynas683                         1,909      V M . DejaVu                            
  64.      41476 p1nhe1r0                            1,889      P1NHE1RØ                                
  65.      12846 DJmad                               1,867      insurance fraud.                        
  66.      46021 aligamingarabic                     1,862      R L • AliGaming                         
  67.      42425 i hate this game                    1,862      dﾞchase ﾏ` zecky                        
  68.      44911 pug=309                             1,838      Jason n                                 
  69.      40193 benray12345                         1,834      SO • Benray                             
  70.      21218 khaledalshihry                      1,752      V M . K3s[COP]                          
  71.      46169 grassic                             1,745      ηgμ ｫ grassic                           
  72.      12266 nelahh                              1,742      †hë ™ ¢øllëç†ør                         
  73.      36186 toom43                              1,728      [ DS ] Thomas                           
  74.      26192 marty_deslions                      1,721      Redﾉ Marty [TOW]                        
  75.      40908 aow                                 1,717      dﾞchase ﾏ` aow                          
  76.      45444 argamingarabic                      1,694      Mr r p                                  
  77.      29892 xseap-on                            1,686      e mirﾞ 99                               
  78.      45833 bananeklpg                          1,666      Milf Shake                              
  79.      31598 spankyjack3                         1,644      Redﾉ FATHER                             
  80.      39413 baboulinet4                         1,641      Baboulinet [COP]                        
  81.      22001 lavezzi                             1,622      Panda selling insim                     
  82.      43187 joe mama1256                        1,621      SG ﾏ Doofus (G29)                       
  83.      46656 ayham_le_goat                       1,604      unnamed                                 
  84.       8309 terga                               1,603      Ronnie Pickering                        
  85.      45179 eren.xk                             1,599      ＪＴＥＳ十                                   
  86.      42332 ozanerkaya                          1,598      [LOS] Boom                              
  87.       3704 ian78                               1,591      Ian                                     
  88.      31993 aplastador200                       1,542      [ LCS ] Aplazt                          
  89.      45504 matutkruse                          1,539      Matut                                   
  90.      28151 amarex                              1,471      [ ﾏ ] Rex                               
  91.      12627 Seal..                              1,459      [6S] Jacob                              
  92.      46983 shamrox                             1,458      Hy Drous                                
  93.      40722 mes(race)                           1,448      Redﾉ Flyaway57                          
  94.      45190 irmantas buivydas                   1,444      [TAXI] Irmantas                         
  95.      41712 edvinaxas                           1,440      Swim> AWECA                             
  96.      44045 sirac.54_                           1,437      [PACT] Muffin                           
  97.      32208 !luz                                1,398      [ HURRY BUS ] Xëc                       
  98.      44610 hasan0602                           1,392      Swim> lewis                             
  99.      44145 zolon                               1,386      zolon                                   
 100.      42673 superlame2                          1,382      ☆ ＭＥＴＫＯ ☆                               

Total_Money:
 Rank    User ID Username                      Total_Money      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.      45913 whatalife                         316,923      whatalife                               
   2.      20375 notsosideways                     296,578      [TC-G] Blacktop                         
   3.      42632 theend2727                        218,001      JDMWorks • Orhn .e                      
   4.       3895 Piggy501                          211,336      [TC] ›Nick‹                             
   5.      39399 ogdave                            192,360      Redﾉ Dave                               
   6.      42317 eetz1                             166,892      V M . Eetzi                             
   7.      39516 mehmetgulec                       149,663      ηgμ ｫ japon                             
