April 2025

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.       2107 P V L                              16,817      [ DS ] P V L                            
   2.      45913 whatalife                          14,682      whatalife                               
   3.      39867 racing101                          11,565      SMOKEY                                  
   4.      39516 mehmetgulec                         9,113      ηgμ ｫ japon                             
   5.      37942 isaac68ea                           7,502      Redﾉ Newton, Isaac                      
   6.      26468 shadowfast                          7,424      [6S] Hakou                              
   7.      36991 forthe                              6,968      [COP] βч For T                          
   8.      25995 gorkema67                           6,372      [COP] -dr                               
   9.      31122 crt7                                6,367      ｢O K｣ Mimsip                            
  10.      35236 ludo99                              5,919      [CSR] ludo                              
  11.      22120 theponczek                          5,774      [ RDSR ] Ponczek                        
  12.      40877 sametttpe                           5,757      dﾞ [COP] ﾏ`samet                        
  13.      45026 gtaplay                             5,677      ＰＩＬＯＴ                                   
  14.      30933 kentwolf                            5,479      [6S] February                           
  15.      41544 yasso7up                            5,360      tBug                                    
  16.      40908 aow                                 5,223      dﾞchase ﾏ` aow                          
  17.      40659 cgtyksy55                           5,182      Redﾉ CCTV                               
  18.      45835 raklomore                           4,840      rak                                     
  19.      41376 glenn quagmire                      4,815      Glenn Quagmire                          
  20.      45351 mrconfidence                        4,639      WhiteLine License                       
  21.      46169 grassic                             4,560      ηgμ ｫ grassic                           
  22.      46087 yetkinbaba                          4,496      Redﾉ Lancer                             
  23.      42317 eetz1                               4,263      V M . Eetzi                             
  24.      41871 emrecansmsk                         4,233      ( F F ) Emre.C                          
  25.      28892 ibtasim6781                         4,232      ghutra                                  
  26.      36473 jamarsk                             4,224      [MED] Mario                             
  27.      45581 kcns                                4,199      Kcns                                    
  28.      36474 akumaz                              4,199      ηgμ ｫ npc                               
  29.      16012 tnt25                               4,195      [6S] Adamo                              
  30.      40663 muratcan2370                        4,188      Dapolyon [V900]                         
  31.      46227 dragonhi                            4,148      dragonhi                                
  32.      44395 006s                                4,048      βч. Azi Z                               
  33.      45902 dravens                             3,893      °S4CE | Ere Not                         
  34.      30277 robb5                               3,849      R obert                                 
  35.      30172 robo1990                            3,681      dﾞ [COP]ﾏ` ROBO                         
  36.      41476 p1nhe1r0                            3,586      P1NHE1RØ                                
  37.      23031 ali_dk                              3,567      Meysam                                  
  38.      42004 tdiahmet_                           3,547      tdiªhmet                                
  39.      46558 victorgtt                           3,495      V T                                     
  40.      24634 bkrisztian91                        3,488      [CSR] Botos                             
  41.      43573 wampy                               3,459      Wa m py ™                               
  42.      44975 eiz                                 3,399      eiZ#SheesH                              
  43.      27378 tommyii                             3,336      [6S] LeCat                              
  44.      43444 slyvute                             3,108      [PACT] Traxyss                          
  45.      40242 astraxan                            3,053      [COP] MOTORHEAD                         
  46.      40193 benray12345                         3,029      SO • Benray                             
  47.      46415 aleksis1                            3,004      [P R ] MarizzP                          
  48.      30093 thatyorkshireman                    2,977      [TC] ›Yung‹                             
  49.      42332 ozanerkaya                          2,977      [LOS] Boom                              
  50.      12846 DJmad                               2,840      insurance fraud.                        
  51.      44045 sirac.54_                           2,817      [PACT] Muffin                           
  52.      29189 cetink.                             2,784      [ RDSR ] Fearr                          
  53.      43143 enesozdil                           2,753      βч. Ene S                               
  54.      41796 countess                            2,713      [PACT] Countess                         
  55.      39608 y a k u z                           2,677      V M . Yakuz                             
  56.      31598 spankyjack3                         2,641      Redﾉ FATHER                             
  57.      33123 thegamer147                         2,611      [ RDSR ] Carlos                         
  58.      30580 dezign                              2,599      [ RDSR ] Robis                          
  59.      43637 cihanarisoylu                       2,595      ＧＴＣ ゑ Kasper                            
  60.      39239 jordanvalov                         2,580      [CSR] Yordan                            
  61.      45504 matutkruse                          2,540      Matut                                   
  62.      43214 raion4545                           2,533      ηgμ ｫ meow                              
  63.      39488 yilmaz_ali                          2,516      SO • Чılmαz                             
  64.      30454 vilix                               2,471      [TC] ›Vilix‹                            
