May 2025

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.      45913 whatalife                          19,488      whatalife                               
   2.      47305 griffin20069                        9,316      [ LCS- ﾏ] Girfen                        
   3.      39867 racing101                           7,817      SMOKEY                                  
   4.      43573 wampy                               7,276      Wa m py ™                               
   5.      41376 glenn quagmire                      5,227      Glenn Quagmire                          
   6.      45026 gtaplay                             5,224      ＰＩＬＯＴ                                   
   7.      46227 dragonhi                            5,200      dragonhi                                
   8.      42343 bigdoa                              4,726      み Npoh                                  
   9.      28892 ibtasim6781                         4,696      ghutra                                  
  10.      40659 cgtyksy55                           3,943      Redﾉ CCTV                               
  11.      46169 grassic                             3,926      ηgμ ｫ grassic                           
  12.      41544 yasso7up                            3,731      tBug                                    
  13.      25995 gorkema67                           3,489      [COP] -dr                               
  14.      46087 yetkinbaba                          3,478      Redﾉ Lancer                             
  15.      44045 sirac.54_                           3,466      [PACT] Muffin                           
  16.      28938 speeddemonn                         3,291      RDP • Speed! [COP]                      
  17.      30093 thatyorkshireman                    3,286      [TC] ›Yung‹                             
  18.      10040 vdubclubz                           3,157      Mマ. Volks                               
  19.      40647 wolf135                             3,141      CERTI DRIVERS                           
  20.      41871 emrecansmsk                         3,133      ( F F ) Emre.C                          
  21.      36474 akumaz                              3,106      ηgμ ｫ npc                               
  22.      30933 kentwolf                            3,096      [6S] February                           
  23.      30172 robo1990                            3,095      dﾞ [COP]ﾏ` ROBO                         
  24.      42979 firatrobert_07                      2,915      [PACT] Robert [G29]                     
  25.      40242 astraxan                            2,872      [COP] MOTORHEAD                         
  26.      39516 mehmetgulec                         2,850      ηgμ ｫ japon                             
  27.      12846 DJmad                               2,794      insurance fraud.                        
  28.      40408 deagle762                           2,762      Ｄｅａｇｌｅ ﾑ                                
  29.      37942 isaac68ea                           2,644      Redﾉ Newton, Isaac                      
  30.      40193 benray12345                         2,566      SO • Benray                             
  31.      27785 sir elton john                      2,551      [TC] ›Chaz‹ [VCU]                       
  32.      40391 plkrk                               2,504      ( F F ) LADA                            
  33.      26468 shadowfast                          2,497      [6S] Hakou                              
  34.      23031 ali_dk                              2,476      Meysam                                  
  35.      41796 countess                            2,451      [PACT] Countess                         
  36.      44378 theshadowxps                        2,399      The Shadow XPS                          
  37.      23517 rob_d                               2,327      rob                                     
  38.      27378 tommyii                             2,317      [6S] LeCat                              
  39.       3245 [OD]Jardim                          2,287      ｢O K｣ Jardim                            
  40.      39239 jordanvalov                         2,243      [CSR] Yordan                            
  41.      35819 olek250                             2,214      Ole                                     
  42.      40866 01alperen001                        2,202      [ RDSR ] Ali                            
  43.      33123 thegamer147                         2,200      [ RDSR ] Carlos                         
  44.       2107 P V L                               2,185      [ DS ] P V L                            
  45.      47268 mertcanugr                          2,165      ShaW (T300RSGT)                         
  46.      46936 zungurt                             2,159      Zungurt                                 
  47.      42317 eetz1                               2,158      V M . Eetzi                             
  48.      37136 sensizim02                          2,155      ＧＴＣゑNaughty                             
  49.      29892 xseap-on                            2,135      e mirﾞ 99                               
  50.      42004 tdiahmet_                           2,109      tdiªhmet                                
  51.      42729 street_stars                        2,097      Bad Driver                              
  52.      45351 mrconfidence                        2,089      WhiteLine License                       
  53.      45440 buntidondo                          2,054      [PACT] Ahmed                            
  54.      46983 shamrox                             2,048      Hy Drous                                
  55.      40388 kramer84                            2,042      Kramer84                                
  56.      43548 suskun068                           1,999      Swim> TopRat                            
  57.      30277 robb5                               1,995      R obert                                 
  58.      42305 stefanbukov                         1,993      B G R ™ Bukov                           
  59.      12477 mikebez                             1,958      [TC] ›Bez‹ [COP]                        
  60.      33967 esperanto_ch                        1,943      x3w 4u 0ux                              
  61.      36991 forthe                              1,922      [COP] βч For T                          
  62.      40361 cocusz                              1,921      COCUSZ G25                              
  63.      16012 tnt25                               1,872      [6S] Adamo                              
  64.      34106 urke_radovanovic                    1,864      [ DS ] Urke                             
  65.      29189 cetink.                             1,849      [ RDSR ] Fearr                          
  66.      29988 xx_huguinho753_xx                   1,846      hg                                      
  67.      31993 aplastador200                       1,839      [ LCS ] Aplazt                          
  68.      46757 snst                                1,820      [ ﾏ ] SNSﾞ                              
  69.      45902 dravens                             1,812      °S4CE | Ere Not                         
  70.      39472 map_top                             1,795      ηgμ ｫ maptop                            
  71.      43444 slyvute                             1,756      [PACT] Traxyss                          
  72.      40158 renzorsa                            1,731      AI 3                                    
  73.      45835 raklomore                           1,727      rak                                     
  74.      44395 006s                                1,715      βч. Azi Z                               
  75.      29964 viktors3232                         1,714      • ‹Redﾉ KaS0Y                           
  76.      39608 y a k u z                           1,694      V M . Yakuz                             
  77.      47318 q4llo                               1,680      q 4 llo``~ [BUS]                        
  78.      26192 marty_deslions                      1,652      Redﾉ Marty [TOW]                        
  79.      46021 aligamingarabic                     1,638      R L • AliGaming                         
  80.       3704 ian78                               1,634      Ian                                     
  81.      42864 mertsenyasa                         1,623      ＭＥＲＴ Ｓ .                                
  82.      16249 nike[lv]                            1,618      SO • Freddy                             
  83.      45905 sezerbey23                          1,607      Smash                                   
  84.      39264 lubomir371                          1,599      [CSR] •L.ivanov156                      
  85.      45712 muhammettskn34                      1,598      #52 M. Taşkın                           
  86.      35468 norvegas1997                        1,597      ˜ Schnitzel ˜                           
  87.      39866 duno                                1,594      Duno                                    
  88.      46783 knq-501                             1,578      R                                       
