June 2025

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.      45913 whatalife                           6,065      whatalife                               
   2.      39867 racing101                           5,282      SMOKEY                                  
   3.      43573 wampy                               4,726      [COP] Wa m py ™                         
   4.      41376 glenn quagmire                      3,562      Glenn Quagmire                          
   5.      44911 pug=309                             3,398      Jason n                                 
   6.      30172 robo1990                            3,262      dﾞ [COP]ﾏ` ROBO                         
   7.      40659 cgtyksy55                           3,164      Redﾉ CCTV                               
   8.      30933 kentwolf                            3,084      [6S] Feb [COP]                          
   9.      37942 isaac68ea                           2,815      Redﾉ Newton, Isaac                      
  10.      46227 dragonhi                            2,756      dragonhi                                
  11.      39608 y a k u z                           2,722      V M . Yakuz                             
  12.      41796 countess                            2,617      Countess                                
  13.      40408 deagle762                           2,600      Ｄｅａｇｌｅ ﾑ                                
  14.      41544 yasso7up                            2,294      tBug                                    
  15.      47318 q4llo                               2,237      q 4 llo``~                              
  16.      22662 bowler                              2,220      [PACT] Ganji [COP]                      
  17.      42317 eetz1                               2,193      V M . Eetzi                             
  18.      46021 aligamingarabic                     2,170      R L • AliGaming                         
  19.      47305 griffin20069                        2,081      [ LCS- ﾏ] Girfen                        
  20.      31122 crt7                                1,962      ｢O K｣ Mimsip                            
  21.      45351 mrconfidence                        1,955      [COP] WhiteLine                         
  22.      41476 p1nhe1r0                            1,943      P1NHE1RØ                                
  23.      40681 supracii3529                        1,903      Kagvafil                                
  24.      28938 speeddemonn                         1,893      [ RDSR ] Speed'D!                       
  25.      40193 benray12345                         1,875      SO • Benray                             
  26.      16012 tnt25                               1,853      [6S] Adamo [COP]                        
  27.      36474 akumaz                              1,804      ηgμ ｫ npc                               
  28.      42004 tdiahmet_                           1,789      tdiªhmet                                
  29.      42343 bigdoa                              1,698      baghdad                                 
  30.      45684 rattao                              1,669      Rattao                                  
  31.      30277 robb5                               1,636      R obert                                 
  32.      42547 shab-k                              1,620      [COP] SHAB K                            
  33.      38919 maatthieu01                         1,605      UnL ucky Way                            
  34.      40391 plkrk                               1,581      GT4 TUBE OWNER                          
  35.      29189 cetink.                             1,571      [ RDSR ] Fearr                          
  36.      22836 leo-from-romania                    1,547      [RO] TL 17 LEO                          
  37.      39516 mehmetgulec                         1,524      ηgμ ｫ japon                             
  38.      47374 ross2750                            1,507      [LCS-G] Not Ross                        
  39.      36529 subbyhowl                           1,502      › Subby ‹                               
