2025 Summary
Data from: TC_Database_03_2025.db, TC_Database_04_2025.db, TC_Database_05_2025.db, TC_Database_06_2025.db

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.      45913 whatalife                          48,561      whatalife                               
   2.       2107 P V L                              36,634      [ DS ] P V L                            
   3.      39867 racing101                          29,073      SMOKEY                                  
   4.      43573 wampy                              20,873      Wa m py ™                               
   5.      39516 mehmetgulec                        19,825      ηgμ ｫ japon                             
   6.      45026 gtaplay                            15,816      ＰＩＬＯＴ                                   
   7.      37942 isaac68ea                          15,499      Redﾉ Newton, Isaac                      
   8.      42317 eetz1                              15,404      V M . Eetzi                             
   9.      46227 dragonhi                           15,278      dragonhi                                
  10.      39608 y a k u z                          15,120      V M . Yakuz                             
  11.      41376 glenn quagmire                     14,598      Glenn Quagmire                          
  12.      40659 cgtyksy55                          14,099      Redﾉ CCTV                               
  13.      30933 kentwolf                           14,070      [6S] Feb [COP]                          
  14.      41544 yasso7up                           13,325      tBug                                    
  15.      25995 gorkema67                          13,041      [COP] -dr                               
  16.      28892 ibtasim6781                        13,031      ghutra                                  
  17.      16012 tnt25                              12,713      [6S] Adamo                              
  18.      36474 akumaz                             12,470      ηgμ ｫ npc                               
  19.      26468 shadowfast                         12,348      [6S] Hakou                              
  20.      46087 yetkinbaba                         11,972      Redﾉ Lancer                             
  21.      42004 tdiahmet_                          11,327      tdiªhmet                                
  22.      46169 grassic                            11,038      ηgμ ｫ grassic                           
  23.      47305 griffin20069                       10,992      [ LCS- ﾏ] Girfen                        
  24.      45351 mrconfidence                       10,964      WhiteLine License                       
  25.      40242 astraxan                           10,764      TERMINATOR                              
  26.      40877 sametttpe                          10,582      dﾞchase ﾏ` samet                        
  27.      30093 thatyorkshireman                   10,254      [TC] ›Yung‹                             
  28.      41871 emrecansmsk                        10,220      ( F F ) Emre.C                          
  29.      30172 robo1990                           10,180      dﾞchase ﾏ` ROBO                         
  30.      44395 006s                               10,166      βч. Azi Z                               
  31.      36991 forthe                             10,092      [COP] βч For T                          
  32.      40663 muratcan2370                       10,038      Dapolyon [V900]                         
  33.      41796 countess                            9,982      ηgμ ｫ countess                          
  34.      31122 crt7                                9,687      ｢O K｣ Mimsip                            
  35.      45835 raklomore                           9,571      rak                                     
  36.      23031 ali_dk                              9,185      ! [COP] M EYSA M                        
  37.      40193 benray12345                         9,063      SO • Benray                             
  38.      29189 cetink.                             9,030      [ RDSR ] Fearr                          
  39.      27378 tommyii                             9,004      [6S] LeCat [COP]                        
  40.      33123 thegamer147                         8,806      RDP•Carlos [COP]                        
  41.      43444 slyvute                             8,711      [PACT] Traxyss                          
  42.      44045 sirac.54_                           8,702      [PACT] Muffin                           
  43.      42343 bigdoa                              8,693      み Npoh                                  
  44.      41476 p1nhe1r0                            8,659      P1NHE1RØ                                
  45.      35236 ludo99                              8,599      [CSR] ludo                              
  46.      28938 speeddemonn                         8,549      RDR • Speed! [RES]                      
  47.      30277 robb5                               8,375      R obert                                 
  48.      40866 01alperen001                        8,246      RDP • Ali [COP]                         
  49.      40408 deagle762                           8,077      [cop]deagle                             
