date       | user_id | username            | Total_Money | Time | Sent_Money | Rece_Money | Driven_distance | GEarned_by_driving | Lost_by_driving | Total_Wealth | Hard_crashes | Lost_by_stealing | Mail_Courier_Delivered_parcels | Mail_Courier_Delivered_kg | Mail_Courier_Driven_distance | Mail_Courier_Earned_money | Mail_Courier_Paid_penalties | Taxiing_Paid_penalties
2026-02-01 | 22313   | heavykick           |      91,044 |    0 |          0 |          0 |             205 |                863 |          10,040 |       90,871 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 35150   | efeealt             |      32,839 |    0 |          0 |          0 |              41 |              1,485 |               0 |        4,011 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 2107    | P V L               |      26,489 |    0 |     10,050 |          0 |             689 |             18,171 |               5 |       25,795 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 26176   | thesfgamer1337      |      17,653 |    0 |          0 |          0 |               7 |                 72 |               0 |       -4,336 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 45026   | gtaplay             |      14,911 |    0 |          0 |      1,000 |             436 |             11,803 |             279 |       14,595 |            3 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 43145   | milkereus           |      14,093 |    0 |          0 |          0 |             351 |              3,475 |             522 |       13,927 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 24634   | bkrisztian91        |      12,259 |    0 |         70 |          0 |              57 |              1,768 |               0 |       12,094 |            2 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 27      | Dennis-1994         |      12,192 |    0 |          0 |          0 |             300 |             10,123 |              22 |       11,850 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 45913   | whatalife           |      10,813 |    0 |          0 |          0 |             302 |              7,785 |             283 |       10,689 |            0 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
2026-02-01 | 39521   | ho4hou_kot          |      10,671 |    0 |          0 |          0 |             105 |              1,157 |           1,165 |       10,227 |            1 |                0 |                              0 |                         0 |                            0 |                         0 |                           0 |                      0
